Objet; CG_i; CG_j; Surface; codeFreeman ; RE_Hi ; RE_Hj ; RE_Bi ; RE_Bj ; perimetre; distance i, distance j
0;193.517;255.164;198482; ; 0 ; 0 ; 387 ; 511 ; 0;193;255
1;35;261.5;2;04 ; 35 ; 261 ; 35 ; 262 ; 2;0;0
2;37.5;153.5;12;07654321 ; 36 ; 152 ; 39 ; 155 ; 9.65685;1;1
3;37.5;409.5;12;07654321 ; 36 ; 408 ; 39 ; 411 ; 9.65685;1;1
4;39;82;5;7531 ; 38 ; 81 ; 40 ; 83 ; 5.65685;1;1
5;39;338;5;7531 ; 38 ; 337 ; 40 ; 339 ; 5.65685;1;1
6;69;475;5;7531 ; 68 ; 474 ; 70 ; 476 ; 5.65685;1;1
7;69.3333;218.667;3;063 ; 69 ; 218 ; 70 ; 219 ; 3.41421;0;0
8;82;35.5;2;04 ; 82 ; 35 ; 82 ; 36 ; 2;0;0
9;82;291.5;2;04 ; 82 ; 291 ; 82 ; 292 ; 2;0;0
10;101.2;103.6;5;66421 ; 100 ; 103 ; 102 ; 104 ; 5.41421;1;0
11;101.2;359.6;5;66421 ; 100 ; 359 ; 102 ; 360 ; 5.41421;1;0
12;104;167;1; ; 104 ; 167 ; 104 ; 167 ; 0;0;0
13;104;423;1; ; 104 ; 423 ; 104 ; 423 ; 0;0;0
14;146.333;48.3333;3;052 ; 146 ; 48 ; 147 ; 49 ; 3.41421;0;0
15;147.7;303;10;0645552111 ; 146 ; 301 ; 150 ; 305 ; 12.4853;2;2
16;149;205;5;7531 ; 148 ; 204 ; 150 ; 206 ; 5.65685;1;1
17;161;160;1; ; 161 ; 160 ; 161 ; 160 ; 0;0;0
18;161;416;1; ; 161 ; 416 ; 161 ; 416 ; 0;0;0
19;171.2;482.6;5;66421 ; 170 ; 482 ; 172 ; 483 ; 5.41421;1;0
20;178.714;92.5714;7;007533 ; 178 ; 91 ; 180 ; 94 ; 7.65685;1;1
21;178;359;1; ; 178 ; 359 ; 178 ; 359 ; 0;0;0
22;181.833;261.5;6;56541 ; 180 ; 260 ; 183 ; 263 ; 6.24264;1;1
23;210;32;1; ; 210 ; 32 ; 210 ; 32 ; 0;0;0
24;231.5;153.5;12;07654321 ; 230 ; 152 ; 233 ; 155 ; 9.65685;1;1
25;231.5;409.5;12;07654321 ; 230 ; 408 ; 233 ; 411 ; 9.65685;1;1
26;233;82;5;7531 ; 232 ; 81 ; 234 ; 83 ; 5.65685;1;1
27;233;338;5;7531 ; 232 ; 337 ; 234 ; 339 ; 5.65685;1;1
28;263;219;5;7531 ; 262 ; 218 ; 264 ; 220 ; 5.65685;1;1
29;263;475;5;7531 ; 262 ; 474 ; 264 ; 476 ; 5.65685;1;1
30;276;35.5;2;04 ; 276 ; 35 ; 276 ; 36 ; 2;0;0
31;276;291.5;2;04 ; 276 ; 291 ; 276 ; 292 ; 2;0;0
32;295.2;103.6;5;66421 ; 294 ; 103 ; 296 ; 104 ; 5.41421;1;0
33;295.2;359.6;5;66421 ; 294 ; 359 ; 296 ; 360 ; 5.41421;1;0
34;298;167;1; ; 298 ; 167 ; 298 ; 167 ; 0;0;0
35;298;423;1; ; 298 ; 423 ; 298 ; 423 ; 0;0;0
36;338.667;247.667;3;641 ; 338 ; 247 ; 339 ; 248 ; 3.41421;0;0
37;340.5;48.5;4;0642 ; 340 ; 48 ; 341 ; 49 ; 4;0;0
38;340.5;304.5;4;0642 ; 340 ; 304 ; 341 ; 305 ; 4;0;0
39;340.5;496;2;62 ; 340 ; 496 ; 341 ; 496 ; 2;0;0
40;361;94;1; ; 361 ; 94 ; 361 ; 94 ; 0;0;0
