Objet; Surface; Moyenne_0; Moyenne_1; Moyenne_2 
0;198384 ; 90.7128;82.7999 ; 73.7445
1;2 ; 112.5;106.5 ; 68.5
2;11 ; 138;91.0909 ; 70.4545
3;11 ; 138;91.0909 ; 70.4545
4;4 ; 185.75;173.25 ; 113
5;4 ; 185.75;173.25 ; 113
6;12 ; 145.083;92.5833 ; 72.0833
7;10 ; 142.5;90.9 ; 71.3
8;15 ; 125.067;117.733 ; 73.0667
9;15 ; 125.067;117.733 ; 73.0667
10;8 ; 161.875;149.75 ; 111.75
11;8 ; 161.875;149.75 ; 111.75
12;4 ; 128.75;116.5 ; 67.25
13;4 ; 128.75;116.5 ; 67.25
14;2 ; 68;74.5 ; 77.5
15;1 ; 161;102 ; 82
16;7 ; 119.571;120.857 ; 118.143
17;1 ; 138;142 ; 139
18;4 ; 144.5;93 ; 77.25
19;4 ; 144.5;93 ; 77.25
20;5 ; 159.6;147.2 ; 109.4
21;5 ; 160.2;106 ; 87.6
22;2 ; 147;93 ; 75.5
23;7 ; 75.1429;76.1429 ; 82.5714
24;5 ; 160.2;106 ; 87.6
25;11 ; 138;91.0909 ; 70.4545
26;11 ; 138;91.0909 ; 70.4545
27;4 ; 185.75;173.25 ; 113
28;4 ; 185.75;173.25 ; 113
29;12 ; 145.083;92.5833 ; 72.0833
30;12 ; 145.083;92.5833 ; 72.0833
31;15 ; 125.067;117.733 ; 73.0667
32;15 ; 125.067;117.733 ; 73.0667
33;8 ; 161.875;149.75 ; 111.75
34;8 ; 161.875;149.75 ; 111.75
35;4 ; 128.75;116.5 ; 67.25
36;4 ; 128.75;116.5 ; 67.25
37;4 ; 81;82.5 ; 89.5
38;2 ; 102.5;106.5 ; 108.5
39;2 ; 68;74.5 ; 77.5
40;2 ; 68;74.5 ; 77.5
41;3 ; 141.333;88.6667 ; 72
